institution,type,in-state-cost,out-state-cost
Western Illinois University,Public,25997,25997
Wheaton College,Private,49300,49300
Anderson University,Private,45290,45290
Ball State University,Public,24550,41122
Bethel College-Indiana,Private,41590,41590
Butler University,Private,59660,59660
DePauw University,Private,64924,64924
Earlham College,Private,59850,59850
Franklin College,Private,46156,46156
Goshen College,Private,47940,47940
Grace College and Theological Seminary,Private,35902,35902
Hanover College,Private,51950,51950
Holy Cross College,Private,45744,45744
Huntington University,Private,38222,38222
Indiana Institute of Technology,Private,41116,41116
Indiana State University,Public,23146,33892
Indiana University-Bloomington,Public,24779,49554
Indiana University-Purdue University-Indianapolis,Public,22537,42893
Indiana University-South Bend,Public,19966,32022
Indiana University-Southeast,Public,20838,32894
Indiana Wesleyan University-Marion,Private,38578,38578
Manchester University,Private,45026,45026
Marian University,Private,49602,49602
Oakland City University,Private,38968,38968
Purdue University Fort Wayne,Public,22200,34038
Purdue University Northwest,Public,22871,32547
Purdue University-Main Campus,Public,22822,41624
Rose-Hulman Institute of Technology,Private,67697,67697
Saint Mary’s College,Private,57300,57300
Saint Mary-of-the-Woods College,Private,45514,45514
Taylor University,Private,47228,47228
Trine University,Private,47586,47586
Union Bible College,Private,14920,14920
University of Evansville,Private,52190,52190
University of Indianapolis,Private,45382,45382
University of Notre Dame,Private,71801,71801
University of Saint Francis-Fort Wayne,Private,43970,43970
University of Southern Indiana,Public,21081,32168
Valparaiso University,Private,54940,54940
Vincennes University,Public,20202,28259
Wabash College,Private,57250,57250
Briar Cliff University,Private,44486,44486
Buena Vista University,Private,46808,46808
Central College,Private,52098,52098
Clarke University,Private,47400,47400
Coe College,Private,57200,57200
Cornell College,Private,58381,58381
Divine Word College,Private,20110,20110
Dordt College,Private,45070,45070
Drake University,Private,56724,56724
Emmaus Bible College,Private,29150,29150
Faith Baptist Bible College and Theological Seminary,Private,28115,28115
Graceland University-Lamoni,Private,42440,42440
Grand View University,Private,40388,40388
Grinnell College,Private,68302,68302
Iowa State University,Public,21186,35590
Iowa Wesleyan University,Private,40173,46073
Loras College,Private,45570,45570
Luther College,Private,55805,55805
Maharishi University of Management,Private,28730,28730
Morningside College,Private,45579,45579
Mount Mercy University,Private,46532,46532
Northwestern College,Private,44600,44600
Palmer College of Chiropractic,Private,32054,32054
Saint Ambrose University,Private,45966,45966
Simpson College,Private,52040,52040
University of Dubuque,Private,45890,45890
University of Iowa,Public,24239,46205
University of Northern Iowa,Public,20934,31476
Upper Iowa University,Private,43750,43750
Waldorf University,For-Profit,34039,34039
Wartburg College,Private,53675,53675
William Penn University,Private,38200,38200
Baker University,Private,44410,44410
Barclay College,Private,32500,32500
Benedictine College,Private,44850,44850
Bethany College,Private,45019,45019
Bethel College-North Newton,Private,42765,42765
Central Christian College of Kansas,Private,30280,30280
Emporia State University,Public,20088,34005
Fort Hays State University,Public,18048,28128
Friends University,Private,41887,41887
Haskell Indian Nations University,Public,8650,8650
Hesston College,Private,40100,40100
Kansas Christian College,Private,17590,17590
Kansas State University,Public,24923,40427
Kansas Wesleyan University,Private,42200,42200
Manhattan Christian College,Private,30352,30352
McPherson College,Private,42118,42118
MidAmerica Nazarene University,Private,46412,46412
Newman University,Private,43988,43988
Ottawa University-Ottawa,Private,44460,44460
Pittsburg State University,Public,19902,31246
Southwestern College,Private,44809,44809
Sterling College,Private,37306,37306
Tabor College,Private,43760,43760
University of Kansas,Public,26566,42776
University of Saint Mary,Private,41870,41870
Washburn University,Public,22056,32304
Wichita State University,Public,24042,33224
Alice Lloyd College,Private,24290,24290
Asbury University,Private,41568,41568
Bellarmine University,Private,61138,61138
Berea College,Private,49854,49854
Brescia University,Private,36450,36450
Campbellsville University,Private,39586,39586
Centre College,Private,55420,55420
Clear Creek Baptist Bible College,Private,18865,18865
Eastern Kentucky University,Public,23706,33484
Georgetown College,Private,51930,51930
Kentucky Christian University,Private,33424,33424
Kentucky Mountain Bible College,Private,15510,15510
Kentucky State University,Public,17078,28378
Kentucky Wesleyan College,Private,40862,40862
Lindsey Wilson College,Private,40478,40478
Midway University,Private,41430,41430
Morehead State University,Public,22812,27288
Murray State University,Public,23472,38928
Northern Kentucky University,Public,23244,32892
Spalding University,Private,39487,39487
Sullivan University,For-Profit,29044,29044
The Southern Baptist Theological Seminary,Private,30783,30783
Thomas More College,Private,42854,42854
Transylvania University,Private,52310,52310
Union College,Private,40040,40040
University of Kentucky,Public,30101,46955
University of Louisville,Public,27980,43602
University of Pikeville,Private,37750,37750
University of the Cumberlands,Private,38400,38400
Western Kentucky University,Public,21840,37608
Centenary College of Louisiana,Private,54300,54300
Dillard University,Private,33684,33684
Grambling State University,Public,26091,35114
Louisiana College,Private,27038,27038
Louisiana State University and Agricultural & Mechanical College,Public,30360,47037
Louisiana State University-Alexandria,Public,19171,26526
Louisiana Tech University,Public,21267,30180
Loyola University New Orleans,Private,56564,56564
McNeese State University,Public,21526,29564
New Orleans Baptist Theological Seminary,Private,18320,18320
Nicholls State University,Public,23118,24211
Northwestern State University of Louisiana,Public,22672,33460
Saint Joseph Seminary College,Private,36347,36347
Southeastern Louisiana University,Public,22601,35079
Southern University and A & M College,Public,23123,30473
Southern University at New Orleans,Public,21353,30254
Tulane University of Louisiana,Private,72296,72296
University of Holy Cross,Private,32297,32297
University of Louisiana at Lafayette,Public,25922,39650
University of Louisiana at Monroe,Public,21762,33862
University of New Orleans,Public,25223,30059
Xavier University of Louisiana,Private,37437,37437
Bates College,Private,71168,71168
Bowdoin College,Private,70710,70710
Colby College,Private,71202,71202
College of the Atlantic,Private,54918,54918
Husson University,Private,31150,31150
Maine College of Art,Private,50690,50690
Maine College of Health Professions,Private,20145,20145
Maine Maritime Academy,Public,27688,41308
Saint Joseph’s College of Maine,Private,52230,52230
Thomas College,Private,40950,40950
Unity College,Private,41720,41720
University of Maine,Public,25088,44888
University of Maine at Farmington,Public,22562,32042
University of Maine at Fort Kent,Public,19835,24035
University of Maine at Machias,Public,19925,27195
University of Maine at Presque Isle,Public,19941,24141
University of New England,Private,56560,56560
University of Southern Maine,Public,22968,35344
Bais HaMedrash and Mesivta of Baltimore,Private,22100,22100
Bowie State University,Public,23238,33878
Capitol Technology University,Private,39632,39632
Coppin State University,Public,23332,29603
Frostburg State University,Public,23810,37530
Goucher College,Private,62506,62506
Hood College,Private,56586,56586
Johns Hopkins University,Private,71901,71901
Loyola University Maryland,Private,66200,66200
Maryland Institute College of Art,Private,64910,64910
McDaniel College,Private,57610,57610
Morgan State University,Public,24101,34368
Mount St. Mary’s University,Private,57125,57125
Ner Israel Rabbinical College,Private,23250,23250
Notre Dame of Maryland University,Private,51670,51670
Salisbury University,Public,25774,35476
St. John’s College,Private,67325,67325
St. Mary’s College of Maryland,Public,30378,46140
Stevenson University,Private,53149,53149
Towson University,Public,26834,40102
University of Maryland Eastern Shore,Public,24216,34422
University of Maryland-Baltimore County,Public,28058,43152
University of Maryland-College Park,Public,27146,51767
Washington Adventist University,Private,35570,35570
Washington College,Private,64542,64542
Yeshiva College of the Nations Capital,Private,23100,23100
American International College,Private,52680,52680
Amherst College,Private,73966,73966
Anna Maria College,Private,54090,54090
Assumption College,Private,56443,56443
Babson College,Private,70378,70378
Bard College at Simon’s Rock,Private,71998,71998
Bay Path University,Private,50524,50524
Bay State College,For-Profit,43620,43620
Becker College,Private,57160,57160
Benjamin Franklin Institute of Technology,Private,40850,40850
Bentley University,Private,68710,68710
Berklee College of Music,Private,65144,65144
Boston Architectural College,Private,39988,39988
Boston Baptist College,Private,26691,26691
Boston College,Private,73092,73092
Boston University,Private,72618,72618
Brandeis University,Private,73335,73335
Bridgewater State University,Public,26811,32951
Clark University,Private,56650,56650
College of Our Lady of the Elms,Private,52462,52462
College of the Holy Cross,Private,69190,69190
Curry College,Private,58550,58550
Dean College,Private,58770,58770
Eastern Nazarene College,Private,41414,41414
Emerson College,Private,68392,68392
Emmanuel College,Private,58153,58153
Endicott College,Private,51674,51674
Fisher College,Private,52510,52510
Fitchburg State University,Public,24576,30656
Framingham State University,Public,27510,33590
Franklin W Olin College of Engineering,Private,71950,71950
Gordon College,Private,50670,50670
Hampshire College,Private,67174,67174
Harvard University,Private,71650,71650
Hellenic College-Holy Cross Greek Orthodox School of Theology,Private,41282,41282
Hult International Business School,Private,61250,61250
Lasell College,Private,54900,54900
Lesley University,Private,49255,49255
Massachusetts College of Art and Design,Public,30200,53400
Massachusetts College of Liberal Arts,Public,25965,34910
Massachusetts Institute of Technology,Private,70240,70240
Massachusetts Maritime Academy,Public,27858,44236
MCPHS University,Private,55120,55120
Merrimack College,Private,60055,60055
Montserrat College of Art,Private,49000,49000
Mount Holyoke College,Private,66558,66558
Newbury College,Private,54040,54040
Nichols College,Private,52550,52550
Northeastern University,Private,70592,70592
Northpoint Bible College,Private,28180,28180
Pine Manor College,Private,48290,48290
Regis College,Private,59360,59360
Saint John’s Seminary,Private,37215,37215
Salem State University,Public,27384,33824
Simmons University,Private,59880,59880
Smith College,Private,72701,72701
Springfield College,Private,53244,53244
Stonehill College,Private,61246,61246
Suffolk University,Private,57871,57871
The New England Conservatory of Music,Private,67650,67650
Tufts University,Private,73500,73500
University of Massachusetts-Amherst,Public,30913,49596
University of Massachusetts-Boston,Public,36647,56446
University of Massachusetts-Dartmouth,Public,30275,45495
University of Massachusetts-Lowell,Public,30552,48199
Wellesley College,Private,72250,72250
Wentworth Institute of Technology,Private,53390,53390
Western New England University,Private,53759,53759
Westfield State University,Public,25120,31200
Wheaton College,Private,68050,68050
Williams College,Private,73200,73200
Worcester Polytechnic Institute,Private,67504,67504
Worcester State University,Public,26491,32571
Adrian College,Private,53481,53481
Albion College,Private,59470,59470
Alma College,Private,54270,54270
Alpena Community College,Public,16140,16140
Andrews University,Private,40566,40566
Aquinas College,Private,44588,44588
Baker College,Private,21000,21000
Calvin College,Private,48900,48900
Central Michigan University,Public,24889,36049
Cleary University,Private,33684,33684
College for Creative Studies,Private,59610,59610
Concordia University-Ann Arbor,Private,44150,44150
Cornerstone University,Private,36772,36772
Davenport University,Private,31564,31564
Eastern Michigan University,Public,26196,26196
Ferris State University,Public,23194,23194
Finlandia University,Private,36088,36088
Grace Christian University,Private,24255,24255
Grand Valley State University,Public,24948,30226
Great Lakes Christian College,Private,27742,27742
Hillsdale College,Private,41778,41778
Hope College,Private,47000,47000
Jackson College,Public,21916,24361
Kalamazoo College,Private,61531,61531
Kettering University,Private,60427,60427
Kuyper College,Private,31898,31898
Lake Michigan College,Public,19725,19725
Lake Superior State University,Public,24477,24477
Lawrence Technological University,Private,49428,49428
Madonna University,Private,35670,35670
Michigan State University,Public,28862,54168
Michigan Technological University,Public,29969,48049
Northern Michigan University,Public,24187,29683
Northwestern Michigan College,Public,22333,24340
Northwood University,Private,41670,41670
Oakland University,Public,25524,37148
Olivet College,Private,41236,41236
Rochester College,Private,33292,33292
Sacred Heart Major Seminary,Private,36475,36475
Saginaw Valley State University,Public,22254,36161
Siena Heights University,Private,40378,40378
Spring Arbor University,Private,41400,41400
University of Detroit Mercy,Private,41226,41226
University of Michigan-Ann Arbor,Public,30298,64386
University of Michigan-Flint,Public,25001,35762
Wayne State University,Public,27157,42051
Western Michigan University,Public,26009,28899
Yeshiva Gedolah of Greater Detroit,Private,15000,15000
Augsburg University,Private,52780,52780
Bemidji State University,Public,20994,20994
Bethany Global University,Private,26478,26478
Bethany Lutheran College,Private,38370,38370
Bethel University,Private,51700,51700
Bethlehem College & Seminary,Private,13360,13360
Carleton College,Private,71325,71325
College of Saint Benedict,Private,58668,58668
Concordia College at Moorhead,Private,51798,51798
Concordia University-Saint Paul,Private,35275,35275
Crown College,Private,40762,40762
Dunwoody College of Technology,Private,36288,36288
Gustavus Adolphus College,Private,57370,57370
Hamline University,Private,53538,53538
Macalester College,Private,68627,68627
Martin Luther College,Private,26590,26590
Minneapolis College of Art and Design,Private,52248,52248
Minnesota State University Moorhead,Public,21996,29406
Minnesota State University-Mankato,Public,20482,28533
North Central University,Private,36454,36454
Oak Hills Christian College,Private,30478,30478
Saint Cloud State University,Public,20991,29225
Saint Johns University,Private,57809,57809
Saint Mary’s University of Minnesota,Private,47290,47290
Southwest Minnesota State University,Public,20984,20984
St Catherine University,Private,52164,52164
St Olaf College,Private,60590,60590
The College of Saint Scholastica,Private,50352,50352
University of Minnesota-Crookston,Public,23560,23560
University of Minnesota-Duluth,Public,24614,29732
University of Minnesota-Morris,Public,24256,26284
University of Minnesota-Rochester,Public,26222,26222
University of Minnesota-Twin Cities,Public,27898,43576
University of Northwestern-St Paul,Private,44340,44340
University of St Thomas,Private,56664,56664
Winona State University,Public,21975,27898
Alcorn State University,Public,24032,24032
Belhaven University,Private,35450,35450
Blue Mountain College,Private,23435,23435
Delta State University,Public,20068,20068
Jackson State University,Public,24029,35257
Millsaps College,Private,56631,56631
Mississippi College,Private,34005,34005
Mississippi State University,Public,24957,39557
Mississippi University for Women,Public,20079,20079
Mississippi Valley State University,Public,20714,20714
Rust College,Private,16700,16700
Southeastern Baptist College,Private,10525,10525
